identity/LineItemId,identity/TimeInterval,bill/BillingPeriodStartDate,lineItem/UsageAccountId,lineItem/LineItemType,lineItem/UsageStartDate,lineItem/ProductCode,lineItem/UsageType,lineItem/AvailabilityZone,lineItem/ResourceId,lineItem/UsageAmount,lineItem/CurrencyCode,lineItem/UnblendedRate,lineItem/UnblendedCost,lineItem/LineItemDescription,product/ProductName,product/region,product/instanceType,resourceTags/user:cost_center,resourceTags/user:department,resourceTags/user:environment,resourceTags/user:name,resourceTags/user:workload,resourceTags/aws:createdBy
kx3mp2a9q7t4vbn8,2018-12-01T00:00:00Z/2018-12-02T00:00:00Z,2018-12-01T00:00:00Z,111122223333,Usage,2018-12-01T00:00:00Z,AmazonEC2,BoxUsage:m5.large,us-east-1a,i-0a1b2c3d4e5f60001,24.0000000000,USD,0.0960000000,2.3040000000,"$0.096 per On Demand Linux m5.large Instance Hour",Amazon Elastic Compute Cloud,us-east-1,m5.large,CC-100,platform,Prod,web-server-01,webapp,IAMUser:AIDAJEXAMPLE:deploy-bot
mz8kw3b7r2y6cdn1,2018-12-01T00:00:00Z/2018-12-02T00:00:00Z,2018-12-01T00:00:00Z,111122223333,Usage,2018-12-01T00:00:00Z,AmazonEC2,BoxUsage:m5.xlarge,us-east-1b,i-0a1b2c3d4e5f60002,24.0000000000,USD,0.1920000000,4.6080000000,"$0.192 per On Demand Linux m5.xlarge Instance Hour",Amazon Elastic Compute Cloud,us-east-1,m5.xlarge,CC-100,platform,prod,web-server-02,webapp,IAMUser:AIDAJEXAMPLE:deploy-bot
pq5nv8c1t9u3wfm4,2018-12-01T00:00:00Z/2018-12-02T00:00:00Z,2018-12-01T00:00:00Z,111122223333,Usage,2018-12-01T00:00:00Z,AmazonRDS,InstanceUsage:db.r4.large,us-east-1a,arn:aws:rds:us-east-1:111122223333:db:prod-orders,24.0000000000,USD,0.2900000000,6.9600000000,"RDS db.r4.large Multi-AZ instance hour",Amazon Relational Database Service,us-east-1,db.r4.large,CC-100,platform,production,orders-db,database,
rt7jx4d6s8v2ghk9,2018-12-01T00:00:00Z/2018-12-02T00:00:00Z,2018-12-01T00:00:00Z,444455556666,Usage,2018-12-01T00:00:00Z,AmazonS3,TimedStorage-ByteHrs,,arn:aws:s3:::analytics-raw-data,140.5000000000,USD,0.0230000000,3.2315000000,"$0.023 per GB-Month of storage used",Amazon Simple Storage Service,us-east-1,,CC-200,data,prod,,analytics,
wb2fy6e8u4x0jln3,2018-12-01T00:00:00Z/2018-12-02T00:00:00Z,2018-12-01T00:00:00Z,444455556666,Usage,2018-12-01T00:00:00Z,AmazonS3,TimedStorage-ByteHrs,,arn:aws:s3:::tmp-scratch-bucket-2017,89.2000000000,USD,0.0230000000,2.0516000000,"$0.023 per GB-Month of storage used",Amazon Simple Storage Service,us-east-1,,,,,,,
ne9gz1f3w5a7pom6,2018-12-01T00:00:00Z/2018-12-02T00:00:00Z,2018-12-01T00:00:00Z,444455556666,Usage,2018-12-01T00:00:00Z,AmazonEC2,DataTransfer-Out-Bytes,,i-0a1b2c3d4e5f60003,12.4800000000,USD,0.0900000000,1.1232000000,"$0.090 per GB - first 10 TB / month data transfer out",Amazon Elastic Compute Cloud,us-east-1,,CC-200,data,staging,etl-worker,n/a,
vc4hs7g9y1b5qrk2,2018-12-01T00:00:00Z/2018-12-02T00:00:00Z,2018-12-01T00:00:00Z,777788889999,Usage,2018-12-01T00:00:00Z,AmazonEC2,BoxUsage:t2.micro,us-west-2a,i-0a1b2c3d4e5f60004,24.0000000000,USD,0.0116000000,0.2784000000,"$0.0116 per On Demand Linux t2.micro Instance Hour",Amazon Elastic Compute Cloud,us-west-2,t2.micro,,,dev,jenkins-test,-,IAMUser:AIDAKEXAMPLE:alice
xd6kt9h2z3c8smj5,2018-12-01T00:00:00Z/2018-12-02T00:00:00Z,2018-12-01T00:00:00Z,777788889999,Usage,2018-12-01T00:00:00Z,AWSLambda,Request,,arn:aws:lambda:us-west-2:777788889999:function:image-resize,845213.0000000000,USD,0.0000002000,0.1690426000,"AWS Lambda - Requests",AWS Lambda,us-west-2,,CC-300,mobile,prd,image-resize,mobile-api,
qa1lu5j7x9d4tnp8,2018-12-01T00:00:00Z/2018-12-02T00:00:00Z,2018-12-01T00:00:00Z,777788889999,Usage,2018-12-01T00:00:00Z,AmazonDynamoDB,WriteCapacityUnit-Hrs,,arn:aws:dynamodb:us-west-2:777788889999:table/user-sessions,720.0000000000,USD,0.0006500000,0.4680000000,"$0.00065 per WCU-hour",Amazon DynamoDB,us-west-2,,CC-300,mobile,Production,user-sessions,mobile-api,
gj3owr8k5m1e7yvb,2018-12-01T00:00:00Z/2018-12-02T00:00:00Z,2018-12-01T00:00:00Z,111122223333,Tax,2018-12-01T00:00:00Z,AmazonEC2,,,,,USD,,1.8975000000,"Tax for product code AmazonEC2",Amazon Elastic Compute Cloud,,,,,,,,
hm8pv2l4n6f0zwc7,2018-12-01T00:00:00Z/2018-12-02T00:00:00Z,2018-12-01T00:00:00Z,111122223333,Credit,2018-12-01T00:00:00Z,AmazonEC2,,,,,USD,,-5.0000000000,"AWS credit applied",Amazon Elastic Compute Cloud,,,,,,,,
sy5qb7m9c2g6xrd1,2018-12-01T00:00:00Z/2018-12-02T00:00:00Z,2018-12-01T00:00:00Z,111122223333,RIFee,2018-12-01T00:00:00Z,AmazonEC2,HeavyUsage:m5.large,,arn:aws:ec2:us-east-1:111122223333:reserved-instances/6ab6feaa,720.0000000000,USD,0.0620000000,44.6400000000,"USD 0.062 hourly fee per Linux m5.large reserved instance",Amazon Elastic Compute Cloud,us-east-1,m5.large,CC-100,platform,,,,
uf7rc3n5p8h2akq4,2018-12-01T00:00:00Z/2018-12-02T00:00:00Z,2018-12-01T00:00:00Z,444455556666,Usage,2018-12-01T00:00:00Z,AmazonCloudWatch,CW:MetricMonitorUsage,,,150.0000000000,USD,0.0003333300,0.0499999500,"$0.30 per metric-month (first 10k metrics)",AmazonCloudWatch,us-east-1,,CC-200,Data,prod,,,
ik9td6q1v4j8bsl3,2018-12-01T00:00:00Z/2018-12-02T00:00:00Z,2018-12-01T00:00:00Z,777788889999,Usage,2018-12-01T00:00:00Z,AmazonEC2,BoxUsage:m5.large,us-west-2b,i-0a1b2c3d4e5f60005,24.0000000000,USD,0.0960000000,2.3040000000,"$0.096 per On Demand Linux m5.large Instance Hour",Amazon Elastic Compute Cloud,us-west-2,m5.large,CC-300,Mobile,prod,api-server-01,mobile-api,
ol2we8s4y6k0mfh9,2018-12-01T00:00:00Z/2018-12-02T00:00:00Z,2018-12-01T00:00:00Z,111122223333,Usage,2018-12-01T00:00:00Z,AmazonEC2,EBS:VolumeUsage.gp2,us-east-1a,vol-0f1e2d3c4b5a60006,100.0000000000,USD,0.1000000000,10.0000000000,"$0.10 per GB-month of General Purpose SSD (gp2)",Amazon Elastic Compute Cloud,us-east-1,,CC-100,,prod,web-ebs-01,webapp,
