resource_id,service,monthly_cost,currency,owner,team,env,cost_center
r-1,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-2,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-3,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-4,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-5,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-6,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-7,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-8,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-9,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-10,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-11,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-12,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-13,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-14,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-15,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-16,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-17,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-18,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-19,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-20,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-21,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-22,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-23,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-24,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-25,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-26,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-27,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-28,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-29,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-30,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-31,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-32,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-33,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-34,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-35,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-36,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-37,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-38,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-39,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-40,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-41,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-42,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-43,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-44,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-45,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-46,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-47,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-48,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-49,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-50,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-51,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-52,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-53,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-54,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-55,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-56,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-57,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-58,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-59,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-60,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-61,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-62,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-63,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-64,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-65,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-66,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-67,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-68,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-69,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-70,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-71,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-72,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-73,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-74,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-75,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-76,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-77,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-78,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-79,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-80,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-81,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-82,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-83,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-84,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-85,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-86,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-87,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-88,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-89,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-90,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-91,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-92,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-93,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-94,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-95,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-96,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-97,EC2,10.00,USD,anna.k,payments,prod,CC-1042
